CustomerCatalogueItemID,CustomerID,ProductName,Product Category,Description,Ingredients,QuantityRequired
CC001,C001,Cool Lime Starbucks Refreshers™ Beverage,Refreshers,Refreshing lime and mint beverage,"Water, lime juice, mint extract, natural flavors, green coffee bean extract, citric acid",5000000
CC002,C001,Ombré Pink Drink,Refreshers,Pink coconut milk with strawberry acai,"Water, strawberry acai base, coconut milk, freeze-dried strawberries, natural flavors",300000
CC003,C001,Pink Drink,Refreshers,Strawberry acai with coconut milk,"Water, strawberry acai base, coconut milk, freeze-dried strawberries, natural flavors",200000
CC004,C001,Strawberry Acai Starbucks Refreshers™ Beverage,Refreshers,Refreshing strawberry acai beverage,"Water, strawberry acai base, coconut milk, freeze-dried strawberries, natural flavors",400000
CC005,C001,Very Berry Hibiscus Starbucks Refreshers™ Beverage,Refreshers,Refreshing berry hibiscus beverage,"Water, hibiscus tea, berry blend, natural flavors, green coffee bean extract",600000
CC006,C001,Violet Drink,Refreshers,Passion tango tea with soy milk,"Water, passion tango tea, soy milk, vanilla syrup, natural flavors",250000
CC007,C001,Evolution Fresh™ Cold-Pressed Apple Berry Juice,Cold-Pressed Juices,Cold-pressed apple and berry juice,"Apple juice, mixed berry juice, natural flavors",300000
CC008,C001,Evolution Fresh™ Defense Up,Cold-Pressed Juices,Immunity boosting cold-pressed juice,"Apple juice, orange juice, ginger, turmeric, cayenne pepper, natural flavors",150000
CC009,C001,Evolution Fresh™ Organic Ginger Limeade,Cold-Pressed Juices,Organic ginger and lime beverage,"Water, ginger juice, lime juice, organic cane sugar, natural flavors",200000
CC010,C001,Iced Coffee,Iced Coffee,Chilled brewed coffee,"Coffee, water, sugar",300000
CC011,C001,Iced Coffee with Milk,Iced Coffee,Chilled coffee with milk,"Coffee, water, milk, sugar",800000
CC012,C001,Iced Espresso Classics - Vanilla Latte,Espresso Drinks,Iced vanilla latte with espresso,"Espresso, milk, vanilla syrup, sugar",1000000
CC013,C001,Iced Espresso Classics - Caffe Mocha,Espresso Drinks,Iced mocha with espresso and chocolate,"Espresso, milk, chocolate syrup, cocoa powder, sugar",400000
CC014,C001,Iced Espresso Classics - Caramel Macchiato,Espresso Drinks,Iced caramel macchiato with espresso,"Espresso, milk, caramel syrup, vanilla syrup, sugar",300000
CC015,C001,Starbucks® Caramel Iced Coffee,Iced Coffee,Iced coffee with caramel flavor,"Coffee, water, milk, caramel syrup, natural flavors",500000
CC016,C001,Starbucks® Iced Coffee + Milk,Iced Coffee,Iced coffee with milk,"Coffee, water, milk, sugar",400000
CC017,C001,Starbucks® Low Calorie Iced Coffee + Milk,Iced Coffee,Low calorie iced coffee with milk,"Coffee, water, milk, sugar",300000
CC018,C001,Starbucks® Vanilla Iced Coffee,Iced Coffee,Iced coffee with vanilla flavor,"Coffee, water, milk, vanilla syrup, natural flavors",250000
CC019,C001,Shaken Sweet Tea,Tea,Sweetened iced tea,"Black tea, sugar, water",200000
CC020,C001,Tazo® Bottled Berry Blossom White,Tea,Bottled white tea with berry blossom,"White tea, berry flavoring, natural flavors",150000
CC021,C001,Tazo® Bottled Black Mango,Tea,Bottled black tea with mango,"Black tea, mango flavoring, natural flavors",200000
CC022,C001,Tazo® Bottled Black with Lemon,Tea,Bottled black tea with lemon,"Black tea, lemon juice, natural flavors",300000
CC023,C001,Tazo® Bottled Brambleberry,Tea,Bottled berry tea blend,"Black tea, blackberry flavoring, natural berry flavors",400000
CC024,C001,Tazo® Bottled Giant Peach,Tea,Bottled tea with peach flavor,"Black tea, peach flavoring, natural flavors",250000
CC025,C001,Tazo® Bottled Iced Passion,Tea,Bottled passion fruit tea,"Passion fruit tea, hibiscus, natural flavors",180000
CC026,C002,Hamburger,Sandwiches,Classic hamburger with beef patty,"Beef patty, onions, pickles, ketchup, mustard, sesame seed bun",800000
CC027,C002,Cheeseburger,Sandwiches,Classic cheeseburger with American cheese,"Beef patty, American cheese, onions, pickles, ketchup, mustard, sesame seed bun",600000
CC028,C002,Double Cheeseburger,Sandwiches,Double beef patties with cheese,"Two beef patties, American cheese, onions, pickles, ketchup, mustard, sesame seed bun",500000
CC029,C002,Quarter Pounder®,Sandwiches,Quarter pound beef patty burger,"Quarter pound beef patty, onions, pickles, ketchup, mustard, sesame seed bun",700000
CC030,C002,Quarter Pounder® with Cheese,Sandwiches,Quarter pound beef patty with cheese,"Quarter pound beef patty, American cheese, onions, pickles, ketchup, mustard, sesame seed bun",600000
CC031,C002,Double Quarter Pounder® with Cheese,Sandwiches,Double quarter pound beef patties with cheese,"Two quarter pound beef patties, American cheese, onions, pickles, ketchup, mustard, sesame seed bun",400000
CC032,C002,Big Mac®,Sandwiches,Iconic Big Mac with special sauce,"Two beef patties, special sauce, lettuce, cheese, pickles, onions, sesame seed bun",300000
CC033,C002,Big N' Tasty®,Sandwiches,Quarter pound beef with fresh vegetables,"Quarter pound beef patty, lettuce, tomato, onions, mayo, sesame seed bun",1000000
CC034,C002,Big N' Tasty® with Cheese,Sandwiches,Quarter pound beef with cheese and fresh vegetables,"Quarter pound beef patty, American cheese, lettuce, tomato, onions, mayo, sesame seed bun",800000
CC035,C002,Filet-O-Fish®,Sandwiches,Breaded fish fillet sandwich,"Fish fillet, tartar sauce, American cheese, steamed bun",1200000
CC036,C002,McChicken ®,Sandwiches,Crispy chicken sandwich,"Chicken patty, lettuce, mayo, bun",300000
CC037,C002,McRib ®,Sandwiches,Barbecue pork sandwich,"Pork patty, barbecue sauce, onions, pickles, bun",400000
CC038,C002,Prem. Grilled Chicken Classic Sandwich,Sandwiches,Chicken sandwich - Prem. Grilled Chicken Classic Sandwich,"Grilled chicken breast, lettuce, tomato, bun, sauce",500000
CC039,C002,Prem. Crispy Chicken Classic Sandwich,Sandwiches,Chicken sandwich - Prem. Crispy Chicken Classic Sandwich,"Crispy chicken breast, lettuce, mayo, bun",600000
CC040,C002,Prem. Grilled Chicken Club Sandwich,Sandwiches,Chicken sandwich - Prem. Grilled Chicken Club Sandwich,"Grilled chicken breast, lettuce, tomato, bun, sauce",500000
CC041,C002,Prem. Crispy Chicken Club Sandwich,Sandwiches,Chicken sandwich - Prem. Crispy Chicken Club Sandwich,"Crispy chicken breast, lettuce, mayo, bun",700000
CC042,C002,Prem. Grilled Chicken Ranch BLT Sandwich,Sandwiches,Chicken sandwich - Prem. Grilled Chicken Ranch BLT Sandwich,"Grilled chicken breast, lettuce, tomato, bun, sauce",600000
CC043,C002,Prem. Crispy Chicken Ranch BLT Sandwich,Sandwiches,Chicken sandwich - Prem. Crispy Chicken Ranch BLT Sandwich,"Crispy chicken breast, lettuce, mayo, bun",400000
CC044,C002,Southern Style Crispy Chicken Sandwich,Sandwiches,Chicken sandwich - Southern Style Crispy Chicken Sandwich,"Crispy chicken breast, lettuce, mayo, bun",900000
CC045,C002,Ranch Snack Wrap® (Crispy),Sandwiches,Chicken wrap - Ranch Snack Wrap® (Crispy),"Tortilla, chicken, lettuce, cheese, sauce",1100000
CC046,C002,Ranch Snack Wrap® (Grilled),Sandwiches,Chicken wrap - Ranch Snack Wrap® (Grilled),"Tortilla, chicken, lettuce, cheese, sauce",600000
CC047,C002,Honey Mustard Snack Wrap® (Crispy),Sandwiches,Chicken wrap - Honey Mustard Snack Wrap® (Crispy),"Tortilla, chicken, lettuce, cheese, sauce",500000
CC048,C002,Honey Mustard Snack Wrap® (Grilled),Sandwiches,Chicken wrap - Honey Mustard Snack Wrap® (Grilled),"Tortilla, chicken, lettuce, cheese, sauce",500000
CC049,C002,Chipotle BBQ Snack Wrap® (Crispy),Sandwiches,Chicken wrap - Chipotle BBQ Snack Wrap® (Crispy),"Tortilla, chicken, lettuce, cheese, sauce",400000
CC050,C002,Chipotle BBQ Snack Wrap® (Grilled),Sandwiches,Chicken wrap - Chipotle BBQ Snack Wrap® (Grilled),"Tortilla, chicken, lettuce, cheese, sauce",400000
CC051,C002,Happy Meal® with Hamburger,Happy Meals®,Kids meal - Happy Meal® with Hamburger,"Beef patty, bun, ketchup, pickles, apple slices, milk",700000
CC052,C002,Happy Mea®l with Cheeseburger,Happy Meals®,Kids meal - Happy Mea®l with Cheeseburger,"Beef patty, cheese, bun, ketchup, pickles, apple slices, milk",800000
CC053,C002,Happy Meal® with 4 pc Chicken McNuggets,Happy Meals®,Kids meal - Happy Meal® with 4 pc Chicken McNuggets,"Chicken nuggets, apple slices, milk, toy",500000
CC054,C002,Mighty Kids Meal® with 6 pc Chicken McNuggets,Mighty Kids Meals®,Kids meal - Mighty Kids Meal® with 6 pc Chicken McNuggets,"Chicken nuggets, apple slices, milk, toy",400000
CC055,C002,Mighty Kids Meal® with Double Cheeseburger,Mighty Kids Meals®,Kids meal - Mighty Kids Meal® with Double Cheeseburger,"Beef patty, cheese, bun, ketchup, pickles, apple slices, milk",500000
CC056,C003,Great Value Deluxe Mixed Nuts 30 oz,Snack Nuts,Salted mixed nuts,Almonds; Cashews; Peanuts; Pecans; Salt,1000000
